,fname,labels
1562,5114b145.wav,Bark
1570,5186a3ed.wav,Traffic_noise_and_roadway_noise
1573,51cd35c1.wav,Bicycle_bell
1574,51d4c717.wav,Slam
1575,51d64b91.wav,Motorcycle
1579,522998bf.wav,Bark
1582,523b300a.wav,Motorcycle
1583,525388e8.wav,Car_passing_by
1591,528fe419.wav,Motorcycle
1593,52a025b9.wav,Bark
1594,52a3ad70.wav,Bark
1607,5303621f.wav,Yell
1608,530e86d7.wav,Shatter
1613,53710264.wav,Motorcycle
1616,5382bbaa.wav,Shatter
1629,5472ffce.wav,Bicycle_bell
1660,55d243cc.wav,Car_passing_by
1673,566038b4.wav,Yell
1674,5665dbd8.wav,Bicycle_bell
1676,5682234e.wav,Car_passing_by
1705,5881ff0a.wav,Shatter
1720,59379e4e.wav,Bus
1723,5983be45.wav,Car_passing_by
1731,5a0946cf.wav,Motorcycle
1732,5a15ad24.wav,Knock
1737,5a988850.wav,Motorcycle
1739,5ab2d233.wav,Knock
1751,5b4265d9.wav,Shatter
1760,5ba66229.wav,Car_passing_by
1765,5bde3e22.wav,Shatter
1766,5c04107c.wav,Motorcycle
1799,5d5a668d.wav,Bark
1803,5d9f70e4.wav,Screaming
1806,5dbfed11.wav,Shatter
1810,5e10db7f.wav,Knock
1812,5e39f3fa.wav,Slam
1813,5e3ec373.wav,Traffic_noise_and_roadway_noise
1829,5f31ab9b.wav,Motorcycle
1832,5f4d6a90.wav,Screaming
1835,5f75d282.wav,Screaming
1839,5f9880ca.wav,Bus
1848,5ff3efaf.wav,Bicycle_bell
1854,6064a8a0.wav,Bark
1874,60e9aa7c.wav,Traffic_noise_and_roadway_noise
1888,619e3de6.wav,Knock
1893,61e3edcc.wav,Motorcycle
1894,61fd680c.wav,Car_passing_by
1902,627e865a.wav,Motorcycle
1915,62defd0f.wav,Shatter
1918,62f1ae51.wav,Slam
1920,630158b6.wav,Yell
1923,634ad046.wav,Motorcycle
1924,63502f19.wav,Bark
1932,63b4c21e.wav,Bicycle_bell
1939,6459fc05.wav,Bicycle_bell
1951,64e9ab3f.wav,Car_passing_by
1956,64fb2d68.wav,Motorcycle
1957,653572f3.wav,Bus
1972,65afa2d6.wav,Knock
1977,65eb82d9.wav,Traffic_noise_and_roadway_noise
1980,65fb1f83.wav,Knock
1988,665970d3.wav,Car_passing_by
1993,6695d505.wav,Yell
2009,67671144.wav,Motorcycle
2021,67d4d66e.wav,Shatter
2026,68191f9f.wav,Motorcycle
2032,68594fa8.wav,Knock
2034,6862be13.wav,Screaming
2049,690b8f86.wav,Shatter
2059,69831d44.wav,Car_passing_by
2064,69fa3fec.wav,Bus
2077,6aa7887b.wav,Traffic_noise_and_roadway_noise
2081,6af58976.wav,Bark
2085,6b27eb13.wav,Car_passing_by
2087,6b4d65e7.wav,Bicycle_bell
2096,6bcabbe7.wav,Slam
2097,6bd2aa2d.wav,Car_passing_by
2099,6bf2707e.wav,Bicycle_bell
2116,6cc4f1ba.wav,Slam
2124,6d3d1420.wav,Bark
2141,6e4b7de1.wav,Traffic_noise_and_roadway_noise
2146,6e8e78b8.wav,Screaming
2152,6f1c7916.wav,Screaming
2155,6f413d0b.wav,Knock
2159,6f66c346.wav,Slam
2165,6fac71b9.wav,Bicycle_bell
2166,6fb7791f.wav,Knock
2175,7061c153.wav,Screaming
2178,706ffa7c.wav,Car_passing_by
2181,7086c4ff.wav,Yell
2189,71084c22.wav,Car_passing_by
2191,710f299e.wav,Traffic_noise_and_roadway_noise
2196,714a5eca.wav,Motorcycle
2197,715be10c.wav,Traffic_noise_and_roadway_noise
2199,715d12d2.wav,Knock
2209,7236123a.wav,Knock
2225,72f4fa2b.wav,Knock
2233,734f83b2.wav,Bark
2239,73e11cc4.wav,Bark
2257,749e4cfc.wav,Shatter
2272,75ba74db.wav,Car_passing_by
2293,76d32c4a.wav,Bicycle_bell
2320,77e2a2d8.wav,Bicycle_bell
2331,78d8d2c8.wav,Screaming
2336,791abba4.wav,Screaming
2337,794b9091.wav,Bus
2339,795d200c.wav,Yell
2350,79d5542a.wav,Traffic_noise_and_roadway_noise
2358,7a3a63b5.wav,Motorcycle
2364,7a5e5707.wav,Shatter
2369,7a8e1e21.wav,Shatter
2371,7aafae75.wav,Screaming
2392,7bb460a0.wav,Car_passing_by
2400,7c61d786.wav,Bus
2403,7c76f6b2.wav,Traffic_noise_and_roadway_noise
2429,7dd4e525.wav,Motorcycle
2436,7e358612.wav,Motorcycle
2453,7eb4d9f0.wav,Screaming
2458,7eeb6398.wav,Car_passing_by
2471,7fe42580.wav,Knock
2472,7fe5e4be.wav,Bus
2484,8069f3ee.wav,Traffic_noise_and_roadway_noise
2491,80bd2d3d.wav,Car_passing_by
2507,81e62540.wav,Yell
2518,8236ace8.wav,Bus
2522,8250b48f.wav,Bus
2526,827ee753.wav,Bicycle_bell
2528,82a97540.wav,Screaming
2539,83338363.wav,Motorcycle
2550,83a9905e.wav,Screaming
2551,83b8e73e.wav,Slam
2557,841185d5.wav,Bark
2576,84dd0d96.wav,Bark
2583,85287219.wav,Shatter
2592,859f7a75.wav,Slam
2613,86b42d00.wav,Shatter
2618,871f327d.wav,Motorcycle
2623,875797c9.wav,Bicycle_bell
2645,8880a621.wav,Knock
2663,89c51b82.wav,Screaming
2664,89d61b7b.wav,Bicycle_bell
2665,89d63445.wav,Bicycle_bell
2670,8a5a7e98.wav,Motorcycle
2688,8b135c74.wav,Shatter
2698,8be3d958.wav,Slam
2703,8c225bfb.wav,Car_passing_by
2708,8c6b9876.wav,Knock
2717,8cab1f21.wav,Bicycle_bell
2718,8cb069a3.wav,Shatter
2733,8d7992fd.wav,Knock
2746,8de174e6.wav,Traffic_noise_and_roadway_noise
2761,8e9c35e8.wav,Shatter
2766,8ec9e8b0.wav,Shatter
2774,8f40eba8.wav,Bus
2779,8f57dece.wav,Bicycle_bell
2794,9045205d.wav,Traffic_noise_and_roadway_noise
2801,90a3db1c.wav,Car_passing_by
2818,91d8844d.wav,Screaming
2820,91f5dd76.wav,Motorcycle
2830,928b1994.wav,Bark
2832,92d01be6.wav,Knock
2837,9336f25b.wav,Car_passing_by
2843,9374db15.wav,Bicycle_bell
2858,942133d3.wav,Bicycle_bell
2861,9459e602.wav,Screaming
2863,9470989d.wav,Shatter
2879,9551eb1d.wav,Knock
2895,95fad007.wav,Knock
2897,962b4141.wav,Traffic_noise_and_roadway_noise
2899,962f8f24.wav,Screaming
2907,9706d373.wav,Traffic_noise_and_roadway_noise
2908,970f687d.wav,Bus
2915,97669a0a.wav,Shatter
2935,988320db.wav,Knock
2939,98b0df76.wav,Bus
2959,997404af.wav,Bus
2961,997dcb18.wav,Slam
2977,9a76bda4.wav,Car_passing_by
2978,9a7c3b2c.wav,Bus
2984,9ad34e6b.wav,Bus
2993,9b53bc95.wav,Bicycle_bell
2994,9b69cc91.wav,Shatter
3028,9d7eeb06.wav,Bark
3039,9dd0e46a.wav,Shatter
3040,9dfc18f7.wav,Shatter
3057,9ecba286.wav,Traffic_noise_and_roadway_noise
3059,9ef2a13e.wav,Traffic_noise_and_roadway_noise
3066,9f2b2715.wav,Knock
3074,9f93d461.wav,Bark
3081,a038c354.wav,Motorcycle
3094,a0a09b04.wav,Bark
3103,a0fb7ead.wav,Traffic_noise_and_roadway_noise
3105,a10b8109.wav,Bicycle_bell
3114,a1956322.wav,Bark
3118,a1d6af10.wav,Slam
3136,a2b44da2.wav,Shatter
3137,a2bc2e4e.wav,Slam
3139,a2eb13ae.wav,Knock
3140,a2f50073.wav,Knock
3144,a31dbf96.wav,Bicycle_bell
3148,a3748ff8.wav,Traffic_noise_and_roadway_noise
3160,a3de90ae.wav,Motorcycle
3163,a3faad03.wav,Yell
3181,a4d19e33.wav,Shatter
3192,a593dc48.wav,Bus
3206,a6421e7a.wav,Car_passing_by
3208,a649e270.wav,Bicycle_bell
3227,a780103f.wav,Motorcycle
3229,a78ec1ea.wav,Bark
3230,a79b8dbb.wav,Bark
3234,a7bb2e05.wav,Car_passing_by
3235,a7cd0949.wav,Shatter
3251,a8774b75.wav,Slam
3254,a890f635.wav,Bicycle_bell
3266,a91b8ace.wav,Bus
3267,a91c3057.wav,Bus
3270,a93b35c3.wav,Shatter
3272,a9531367.wav,Shatter
3277,a9908fe5.wav,Car_passing_by
3289,aa7cbb7d.wav,Knock
3295,aab21a12.wav,Traffic_noise_and_roadway_noise
3298,aae85615.wav,Bus
3314,abdfffdd.wav,Knock
3315,abe0de4b.wav,Car_passing_by
3319,ac1de830.wav,Shatter
3328,ac852cfc.wav,Car_passing_by
3329,ac969a42.wav,Bicycle_bell
3335,acd1d0df.wav,Slam
3338,acf9f485.wav,Bicycle_bell
3343,ad2aac0d.wav,Slam
3345,ad49bd2d.wav,Car_passing_by
3353,adb67284.wav,Traffic_noise_and_roadway_noise
3361,adff8113.wav,Screaming
3377,aecd97a7.wav,Bark
3391,af62b8a9.wav,Knock
3398,afadc674.wav,Slam
3437,b21775cd.wav,Motorcycle
3443,b245bda7.wav,Traffic_noise_and_roadway_noise
3446,b260f8af.wav,Shatter
3460,b3180d19.wav,Traffic_noise_and_roadway_noise
3504,b574b278.wav,Bus
3512,b5d64c28.wav,Knock
3530,b6b1dc4c.wav,Bus
3539,b7517b1b.wav,Bicycle_bell
3547,b78f84a6.wav,Car_passing_by
3550,b7b2c6b6.wav,Traffic_noise_and_roadway_noise
3552,b7b63bba.wav,Motorcycle
3553,b7b875b3.wav,Knock
3561,b81447ef.wav,Bicycle_bell
3563,b82a2785.wav,Bicycle_bell
3567,b8402616.wav,Knock
3578,b8ef4cc7.wav,Traffic_noise_and_roadway_noise
3591,b99ed718.wav,Bark
3598,ba007dd4.wav,Yell
3627,bb734e88.wav,Traffic_noise_and_roadway_noise
3633,bc00bedc.wav,Yell
3649,bc749857.wav,Screaming
3670,bd562a23.wav,Traffic_noise_and_roadway_noise
3678,bdfd8e5d.wav,Shatter
3685,be88ab03.wav,Knock
3687,be938190.wav,Motorcycle
3691,bf09ea86.wav,Bark
3693,bf175a31.wav,Knock
3695,bf1d95a3.wav,Slam
3702,bf45fdb6.wav,Car_passing_by
3718,bfa98837.wav,Yell
3746,c0c093b7.wav,Bus
3753,c10dd7a0.wav,Screaming
3767,c1820f09.wav,Knock
3768,c197ef4f.wav,Bicycle_bell
3771,c1d43744.wav,Slam
3775,c1ee413e.wav,Traffic_noise_and_roadway_noise
3776,c1ffa1ef.wav,Screaming
3787,c27295b8.wav,Slam
3796,c30280c4.wav,Bus
3797,c3119162.wav,Bark
3817,c3e445ff.wav,Bus
3841,c4edb101.wav,Knock
3848,c548732f.wav,Screaming
3851,c573bbb6.wav,Screaming
3853,c599209a.wav,Bus
3855,c59ff0ac.wav,Knock
3860,c5dd1028.wav,Knock
3877,c6e58708.wav,Bicycle_bell
3878,c6e8fd73.wav,Shatter
3912,c8d9bbf1.wav,Slam
3926,c9c71021.wav,Bicycle_bell
3934,ca5299f5.wav,Bicycle_bell
3944,cad7b311.wav,Slam
3991,cd4f6e9d.wav,Car_passing_by
4002,ce3cae38.wav,Bus
4012,ceb2f656.wav,Knock
4018,cee6f3bb.wav,Bark
4036,d018a630.wav,Screaming
4047,d10b299f.wav,Screaming
4052,d18d10e6.wav,Motorcycle
4062,d1fb51da.wav,Bicycle_bell
4064,d219a296.wav,Traffic_noise_and_roadway_noise
4072,d291f6ac.wav,Car_passing_by
4081,d2f7c8f0.wav,Slam
4083,d3019ff0.wav,Bus
4090,d3bef3dd.wav,Motorcycle
4100,d45d01b7.wav,Bark
4107,d4ab7fa3.wav,Traffic_noise_and_roadway_noise
4111,d4ee6fd6.wav,Bus
4112,d4f5b26c.wav,Bus
4114,d5136e87.wav,Shatter
4120,d57316bd.wav,Screaming
4122,d5889aa3.wav,Yell
4125,d596840e.wav,Bus
4126,d59af808.wav,Bicycle_bell
4130,d5ac74bc.wav,Traffic_noise_and_roadway_noise
4154,d6cfde71.wav,Shatter
4156,d6d34aad.wav,Shatter
4161,d6fd728f.wav,Knock
4163,d70b25c7.wav,Bus
4165,d70e1b09.wav,Car_passing_by
4171,d7d25898.wav,Traffic_noise_and_roadway_noise
4204,d9c600a6.wav,Yell
4207,da0895d8.wav,Car_passing_by
4212,da51f043.wav,Screaming
4221,da983283.wav,Shatter
4236,db39774c.wav,Bicycle_bell
4262,dc534114.wav,Slam
4263,dc576e0e.wav,Screaming
4266,dc82b605.wav,Motorcycle
4271,dcc01154.wav,Knock
4279,dd41d4cd.wav,Traffic_noise_and_roadway_noise
4280,dd498f00.wav,Screaming
4283,dd7aa68d.wav,Traffic_noise_and_roadway_noise
4287,dda16103.wav,Screaming
4289,ddcfbdf2.wav,Bark
4291,dddaad6e.wav,Screaming
4293,de067241.wav,Knock
4296,de4974c3.wav,Bus
4303,de8b71ae.wav,Slam
4313,df2362c8.wav,Bark
4316,df29094b.wav,Shatter
4317,df3799c1.wav,Screaming
4323,df9a2230.wav,Car_passing_by
4333,e018380b.wav,Bus
4338,e0343f10.wav,Bark
4344,e0735d4d.wav,Screaming
4347,e098753b.wav,Screaming
4356,e1367909.wav,Bus
4358,e15f019f.wav,Knock
4377,e20b02c1.wav,Bark
4378,e2108dc7.wav,Bus
4381,e2513966.wav,Bus
4392,e2c31526.wav,Motorcycle
4409,e3ca796e.wav,Car_passing_by
4421,e440ec93.wav,Bicycle_bell
4426,e49dbd80.wav,Car_passing_by
4437,e57034cf.wav,Shatter
4454,e661384c.wav,Screaming
4455,e66309d9.wav,Bicycle_bell
4463,e6deee64.wav,Bicycle_bell
4481,e7995482.wav,Bark
4483,e7d72719.wav,Traffic_noise_and_roadway_noise
4487,e7f48781.wav,Bark
4488,e8094d53.wav,Motorcycle
4495,e84a62e9.wav,Bus
4496,e8581680.wav,Bicycle_bell
4513,e92dc7b4.wav,Car_passing_by
4523,e9909494.wav,Car_passing_by
4545,eb32231a.wav,Knock
4548,eb4e33bd.wav,Knock
4550,eb608ef9.wav,Bus
4556,ebbaf67a.wav,Motorcycle
4562,ebea9c9f.wav,Bicycle_bell
4571,ec70c378.wav,Knock
4587,ed1509d3.wav,Bark
4588,ed15c98f.wav,Motorcycle
4598,edabe6a6.wav,Shatter
4602,edc6e005.wav,Motorcycle
4628,ee9bf01e.wav,Bicycle_bell
4633,eecae0fc.wav,Shatter
4640,ef15f5ff.wav,Bus
4641,ef26fc5d.wav,Bicycle_bell
4655,efc46a8a.wav,Bark
4657,efcb8eb5.wav,Screaming
4669,f0909d0e.wav,Motorcycle
4682,f0efc8ca.wav,Car_passing_by
4698,f1c653ca.wav,Traffic_noise_and_roadway_noise
4699,f1f0ac34.wav,Bus
4702,f22bc471.wav,Car_passing_by
4708,f24e996f.wav,Knock
4711,f27f2dad.wav,Yell
4716,f2a6aea9.wav,Shatter
4717,f2af7e79.wav,Bark
4721,f2f0a2b1.wav,Bark
4722,f3155633.wav,Shatter
4724,f34a6051.wav,Shatter
4727,f396ec97.wav,Traffic_noise_and_roadway_noise
4743,f49950f4.wav,Traffic_noise_and_roadway_noise
4757,f521c601.wav,Bark
4759,f5342540.wav,Bark
4770,f5d11bfe.wav,Shatter
4797,f743f4f8.wav,Car_passing_by
4802,f77a898b.wav,Bus
4805,f7a55e22.wav,Knock
4808,f7d7c7ad.wav,Motorcycle
4812,f82399ff.wav,Bus
4815,f83be4fc.wav,Shatter
4817,f865d675.wav,Traffic_noise_and_roadway_noise
4827,f8cf77d3.wav,Motorcycle
4833,f923a0b3.wav,Slam
4836,f95969ec.wav,Bus
4849,f9ef8633.wav,Slam
4857,fa51ec0c.wav,Bicycle_bell
4861,fad68b23.wav,Bark
4873,fb74b3bb.wav,Bus
4888,fc576fc0.wav,Slam
4890,fc83076a.wav,Traffic_noise_and_roadway_noise
4913,fd6af2dd.wav,Bark
4917,fd945c9e.wav,Shatter
4923,fda8d6a6.wav,Motorcycle
4925,fdabe279.wav,Shatter
4929,fdc70402.wav,Screaming
4937,fe82a153.wav,Traffic_noise_and_roadway_noise
4960,ff9a20a8.wav,Bark
4966,ffdc411e.wav,Slam
4967,ffe2178b.wav,Bus
4971,000b6cfb.wav,Motorcycle
4977,002190ca.wav,Slam
4984,0030c602.wav,Yell
5036,00e1ed10.wav,Bark
5037,00e645ea.wav,Screaming
5042,00fb384d.wav,Bus
5050,0107d033.wav,Yell
5051,010a1537.wav,Traffic_noise_and_roadway_noise
5065,012ef7ae.wav,Knock
5067,013a1712.wav,Motorcycle
5070,01421f72.wav,Traffic_noise_and_roadway_noise
5073,0151c25a.wav,Shatter
5080,016380e8.wav,Bark
5094,01a66dad.wav,Bus
5104,01cc2670.wav,Shatter
5110,01e8d258.wav,Bark
5114,01f7023f.wav,Slam
5116,01fb0ef1.wav,Car_passing_by
5123,02060d5e.wav,Knock
5126,020ce2d3.wav,Bark
5129,020dd05c.wav,Traffic_noise_and_roadway_noise
5131,021058f5.wav,Motorcycle
5132,0211c42c.wav,Bark
5146,0232fd7c.wav,Yell
5151,0241853e.wav,Motorcycle
5154,024cefba.wav,Bark
5156,02528c44.wav,Yell
5158,02585e6e.wav,Slam
5171,02941554.wav,Traffic_noise_and_roadway_noise
5186,02dc3b7c.wav,Shatter
5190,02ecef8b.wav,Bark
5214,03451163.wav,Yell
5218,03543d16.wav,Bicycle_bell
5219,0354d512.wav,Shatter
5222,035a9a77.wav,Motorcycle
5223,035c5faf.wav,Car_passing_by
5227,036b8352.wav,Car_passing_by
5232,0379eef6.wav,Bark
5233,037c9925.wav,Bus
5234,037e938d.wav,Shatter
5239,039531b0.wav,Screaming
5243,039e6349.wav,Traffic_noise_and_roadway_noise
5253,03c76e43.wav,Screaming
5256,03d1fad7.wav,Car_passing_by
5270,040969f8.wav,Bicycle_bell
5284,044ec30f.wav,Bicycle_bell
5291,0464656d.wav,Screaming
5295,04732466.wav,Motorcycle
5304,049998bc.wav,Motorcycle
5305,049a13a8.wav,Bark
5310,04b6fbaa.wav,Bicycle_bell
5313,04c4f212.wav,Yell
5319,04e95321.wav,Car_passing_by
5326,04f8ee2c.wav,Traffic_noise_and_roadway_noise
5329,05039472.wav,Slam
5330,05068503.wav,Screaming
5338,05279749.wav,Bicycle_bell
5342,052d9c76.wav,Bark
5352,054ce0f5.wav,Shatter
5358,057b1c39.wav,Motorcycle
5360,05871e79.wav,Yell
5370,05ac1d13.wav,Traffic_noise_and_roadway_noise
5372,05b1192f.wav,Slam
5378,05c26005.wav,Traffic_noise_and_roadway_noise
5379,05c438a2.wav,Bark
5380,05c8d2ae.wav,Bark
5387,05dbb89d.wav,Slam
5394,05fc0d54.wav,Bicycle_bell
5397,060bdd2d.wav,Traffic_noise_and_roadway_noise
5399,060fe98e.wav,Bicycle_bell
5400,06173664.wav,Yell
5402,06205182.wav,Screaming
5403,0623aa68.wav,Bark
5406,062e5c0e.wav,Screaming
5418,06665d41.wav,Knock
5426,0685d875.wav,Bus
5430,0699022f.wav,Bus
5437,06fd9319.wav,Knock
5438,06ffad33.wav,Slam
5440,07011d66.wav,Slam
5454,0734eb21.wav,Knock
5456,0740c133.wav,Bus
5458,0747f5dd.wav,Bicycle_bell
5492,07b45da4.wav,Slam
5498,07d209f3.wav,Bark
5505,07fd2818.wav,Slam
5507,0802dac6.wav,Knock
5519,0826bce4.wav,Car_passing_by
5522,083422ec.wav,Knock
5525,0838b0b3.wav,Knock
5526,083bc61a.wav,Bark
5538,085cff18.wav,Car_passing_by
5539,085f75a4.wav,Traffic_noise_and_roadway_noise
5546,087bc4a8.wav,Traffic_noise_and_roadway_noise
5549,087dfc9d.wav,Traffic_noise_and_roadway_noise
5583,08d6545a.wav,Traffic_noise_and_roadway_noise
5584,08d69a95.wav,Slam
5595,08f16571.wav,Yell
5597,08f3b7fe.wav,Yell
5598,08f509f0.wav,Yell
5605,090e5128.wav,Screaming
5606,09118e0e.wav,Screaming
5608,0917f423.wav,Screaming
5612,092123b0.wav,Traffic_noise_and_roadway_noise
5623,095180be.wav,Bicycle_bell
5634,09846b7d.wav,Screaming
